"What is the common morpheme among these words: pyre, empyrean, antipyretic, pyrotechnics",fire,hot,oxygen,medicine,A
"What is the common morpheme among these words: biology, antibiotic, symbiosis, amphibian",disease,life,study,animal,B
"What is the common morpheme among these words: ambulance, preambulate, funambulant, deambulator",world,rope,walk,vehicle,C
"What is the common morpheme among these words: chromosome, dichromatic, polychromy, photochromatic",color,two,study,picture,A
"What is the common morpheme among these words: dendrogram, epidendrum, philodendron, dendrite",life,tree,study,plant,B
"What is the common morpheme among these words: allophone, allergy, allele, allomorph",dust,chromosome,other,telephone,C
"What is the common morpheme among these words: abduct, educate, introduce, induction",lead,learn,start,go,A
"What is the common morpheme among these words: document, doctor, doctrine, docile",word,medicine,teach,calm,C
"What is the common morpheme among these words: transfer, afferent, defer, insufferable",move,iron,nerve,carry,D
"What is the common morpheme among these words: fracture, fragile, infraction, refrain",break,drop,stop,crack,A
"What is the common morpheme among these words: autopsy, dystopia, myopia, synopsis",death,see,summary,glasses,B
"What is the common morpheme among these words: dose, endowment, donation, tradition",vaccine,money,give,custom,C
"What is the common morpheme among these words: adapt, aptitude, attitude, aptonym",mood,test,occupation,fit,D
"What is the common morpheme among these words: fable, famous, affable, ineffability",popular,story,pleasant,speak,D
"What is the common morpheme among these words: colleague, delegation, legitimate, loyal",friend,law,true,pet,B
"What is the common morpheme among these words: epinephrine, nephrologist, nephridia, nephrite",medicine,doctor,organ,kidney,D
"What is the common morpheme among these words: agree, congratulations, gracefully, gratuity",pleasing,free,elegant,exclamation,A
"What is the common morpheme among these words: innovate, nova, novel, renovation",building,new,star,book,B
"What is the common morpheme among these words: oxymoron, oxygen, oxytone, paroxysm",gas,sharp,disease,stress,B
"What is the common morpheme among these words: expatriate, patriarchy, patronize, pattern",shape,father,country,system,B
"What is the common morpheme among these words: insect, dissect, intersect, section",line,biology,cut,animal,C
"What is the common morpheme among these words: revival, viable, vivid, survival",bright,live,sustain,capable,B
"What is the common morpheme among these words: adventure, convenient, invention, venture",explore,useful,come,create,C
"What is the common morpheme among these words: circumstance, institute, obstacle, metastasis",situation,tumor,stand,blockage,C
"What is the common morpheme among these words: conscious, nice, omniscient, nanoscience",know,mind,kind,technology,A
"Quel est le morphème commun parmi ces mots: croissant, incrément, recrutement, céréale",pâte,augmenter,croître,déjeuner,C
"Quel est le morphème commun parmi ces mots: enfance, fatalité, diffamer, confesser",bébé,victime,parler,admettre,C
"Quel est le morphème commun parmi ces mots: acteur, transaction, naviguer, prodiguer",pièce,donner,carte,conduire,D
"Quel est le morphème commun parmi ces mots: courriel, récurrent, excursion, cursif",courir,écriture,sortie,répété,A
"Quel est le morphème commun parmi ces mots: mentir, véhément, commentaire, moniteur",faux,violent,penser,écran,C
"Quel est le morphème commun parmi ces mots: clairvoyant, entrevue, envisager, vidéo",pouvoir,voir,travail,photographie,B
"Quel est le morphème commun parmi ces mots: séquence, société, ensuite, exécuter",ordre,suivre,puis,remplir,B
"Quel est le morphème commun parmi ces mots: sourcil, occulte, celer, cellulaire",oeil,téléphone,couvrir,pouvoir,C
"Quel est le morphème commun parmi ces mots: magistral, jamais, majorité, maître",compétence,patron,grand,rarement,C
"Quel est le morphème commun parmi ces mots: fragilité, naufrage, fractionnel, refrain",briser,bateau,diviser,s'abstenir,A
"Quel est le morphème commun parmi ces mots: contradiction, dictionnaire, indice, préjudice",livre,réfuter,montrer,influencer,C
"Quel est le morphème commun parmi ces mots: cadence, cadavre, accident, parachute",rythme,corps,sauter,tomber,D
"Quel est le morphème commun parmi ces mots: culture, collier, agricole, coloniser",société,charbon,tourner,implantation,C
"Quel est le morphème commun parmi ces mots: opéra, ouvrage, coopération, opérationnel",travailler,collaboration,musique,chirurgicale,A
"Quel est le morphème commun parmi ces mots: sectionner, sciage, segment, insecte",fendre,ligne,punaise,couper,D
"Quel est le morphème commun parmi ces mots: communiquer, migration, mutuel, rémunerer",changer,parler,se déplacer,payer,A
"Quel est le morphème commun parmi ces mots: conversion, anniversaire, divers, univers",transformer,tourner,fête,solaire,B
"Quel est le morphème commun parmi ces mots: armoire, philharmonie, orteil, articulation",garde-robe,musique,jointure,pied,C
"Quel est le morphème commun parmi ces mots: capitaine, escapade, capucine, échapper",commandant,fuir,café,tête,D
"Quel est le morphème commun parmi ces mots: cadre, quatrain, escadron, écartement",boîte,distance,groupe,quatre,D
"Quel est le morphème commun parmi ces mots: conclave, exclusivité, conclure, claustral",secret,finaliser,clou,fermé,C
"Quel est le morphème commun parmi ces mots: sédimentaire, séance, assiette, siège",rocher,s'asseoir,vaisselle,tabouret,B
"Quel est le morphème commun parmi ces mots: omnipotent, possibilité, possession, potentiel",probabilité,biens,tout-puissant,maître,D
"Quel est le morphème commun parmi ces mots: composer, opposer, posture, impôt",chanson,contredire,laisser,taxe,C
"Quel est le morphème commun parmi ces mots: rapport, support, aéroport, pirate",navire,aide,avion,transporter,D
